Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
4243295,02/19/2015,0020,20,Olympic,2002,19,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,BEVERLY                      BL,WESTERN                      AV
4245390,02/21/2015,0225,06,Hollywood,0646,22,F,O,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MAPLEWOOD,WESTERN
4245908,02/21/2015,2235,06,Hollywood,0657,38,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,BARSTOW,WESTERN
4246058,02/22/2015,0120,06,Hollywood,0677,27,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,BARTON,WESTERN
4256001,02/27/2015,2200,06,Hollywood,0677,18,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,INSTITUTE                    BL,WESTERN                      BL
4261982,03/06/2015,2345,20,Olympic,2071,27,M,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,WESTERN
4261992,03/06/2015,2355,20,Olympic,2071,44,M,W,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,VENICE,WESTERN
4262062,03/07/2015,0045,20,Olympic,2071,23,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN
4262070,03/07/2015,0010,20,Olympic,2071,48,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,WESTERN
4262146,03/07/2015,0105,20,Olympic,2071,45,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,VENICE,WESTERN
4262166,03/07/2015,0130,20,Olympic,2071,34,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,5TH                          ST,WESTERN
4266147,03/12/2015,0045,06,Hollywood,0669,20,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,FOUNTAIN,WESTERN
4273013,03/19/2015,2230,06,Hollywood,0657,36,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,BARTON,WESTERN
4276995,03/24/2015,2230,20,Olympic,2071,18,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,PICO,WESTERN
4280369,03/25/2015,2330,06,Hollywood,0668,47,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,SANTA MONICA,WESTERN
4288179,04/05/2015,0100,20,Olympic,2071,30,M,H,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,VENICE                       BL,WESTERN                      BL
4299758,04/16/2015,0050,06,Hollywood,0678,23,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MARATHON,WESTERN
4300644,04/16/2015,2315,06,Hollywood,0677,23,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,SANTA MONICA                 BL,WESTERN
4301644,04/18/2015,0110,06,Hollywood,0665,22,F,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,FOUNTAIN,WESTERN
4301669,04/18/2015,0115,06,Hollywood,0647,27,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MELROSE,WESTERN
4304167,04/21/2015,0640,20,Olympic,2071,21,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,COUNTRY CLUB,WESTERN
4314617,05/02/2015,0310,20,Olympic,2074,27,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,18TH,WESTERN
4314625,05/02/2015,0310,20,Olympic,2081,22,F,H,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,8TH                          ST,WESTERN
4319171,05/07/2015,2315,06,Hollywood,0657,26,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,BARTON,WESTERN
4319235,05/08/2015,0115,06,Hollywood,0648,24,M,W,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,INSTITUTE,WESTERN
4319251,05/08/2015,0130,06,Hollywood,0678,32,M,O,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,INSTITUTE,WESTERN
4319268,05/08/2015,0230,06,Hollywood,0678,24,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,INSTITUTE,WESTERN
4319272,05/08/2015,0215,06,Hollywood,0678,47,M,W,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,INSTITUTE,WESTERN
4320067,05/08/2015,2330,20,Olympic,2063,20,F,O,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,PICO,WESTERN
4325452,05/14/2015,0030,06,Hollywood,0678,20,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MELROSE,WESTERN
4325504,05/14/2015,0140,20,Olympic,2002,42,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,ROSEWOOD,WESTERN
